A01;Q03;Q04;Q04A;Q04B;Q05;Q06A;Q06B;Q08;Q08C;Q09A1;Q09B1;Q10A1;Q10B1;Q19A;B08A;B08B;pm17B
10273;1;2; ; ;2;1;2;1;2;1;3;6;8;13; ; ;0,429990253
37216;1;1;2; ;1;2;3;1;1;1;1;2;7;14; ; ;0,429990253
9527;1;1;1; ;1;1;1;1;1;1;1;6;6;11;2;1;0,440840143
10279;1;1;1; ;1;1;1;1;1;1;1;6;6;14;4;2;0,440840143
10282;1;1;1; ;1;1;1;1;1;1;1;2;6;15;1;1;0,440840143
9508;1;1;1; ;1;1;1;4;1;4;1;3;6;10; ; ;0,442755008
10267;1;2; ;2;2;1;1;1;2;5;2;4;6;13;4; ;0,442755008
10560;1;1;1; ;1;1;1;1;2;1;1;4;4;15;1;1;0,442755008
8823;1;1;1; ;2;1;2;2;1;1;1;7;2;14;2;1;0,447449363
8825;1;1;1; ;1;2;1;1;1;1;1;4;4;14; ; ;0,447449363
8831;1;1;1; ;1;1;1;1;4;7;1;7; ; ;1;1;0,447449363
8843;1;1;1; ;1;1;1;1;1;1;3;9;8;15;2;1;0,447449363
8850;1;1;1; ;1;1;1;1;2;1;1;2;5;16;2;2;0,447449363
9497;1;1;1; ;1;1;1;1;1;1;1; ; ;12;3;3;0,447449363
9519;1;2; ;2;2;1;1;1;1;1;1;6;6; ;1;1;0,447449363
9530;1;1;1; ;1;1;1;1;1;1;1;6;5;2;2;1;0,447449363
9535;1;1;1; ;1;1;1;1;1;1;1;3;6;14;1;1;0,447449363
10249;1;1;1; ;1;1;1;1;4;1;7;6; ;15;1; ;0,447449363
10250;1;1;1; ;2;1;2;1;1;1;1; ; ;16;1;1;0,447449363
10284;1;1;1; ;2;1;1;1;1;1;1;6;6;6;2;2;0,447449363
10554;1;1;1; ;1;1;1;1;2;1;1;4;5;12;3;1;0,447449363
10558;1;1;1; ;1;1;1;1;1;1;3;2;8;16;1;1;0,447449363
10563;1;1;1; ;1;1;2;1;1;1;1;2;4;16;3;3;0,447449363
10565;1;1;1; ;1;1;1;1;1;1;1;2;7;16;3;2;0,447449363
10575;1;1;1; ;1;1;1;1;2;1;1;6;4;16;1;1;0,447449363
37203;1;1;1; ;1;1;2;1;1;1;6;2;8; ;3;3;0,447449363
37204;1;2; ;4;1;1;1;1;1;1;1;3;6; ;1;1;0,447449363
37205;1;1;1; ;2;1;2;2;1;1;1;6;6;16; ; ;0,447449363
37223;1;1;1; ;2;1;2;1;2;1;1;6;6;15;3;3;0,447449363
37230;1;1;1; ;1;1;1;1;1;1;1;7;6; ;5;3;0,447449363
8808;1; ;1; ;1;1;1;1;2;4;4; ; ;17; ; ;0,449392936
8821;1;1;1; ;1;1;2;1;2;1;1;3;6;10; ; ;0,449392936
8837;1;1;2; ;1;1;1;1;4;7;1;9;6;15; ;2;0,449392936
9502;1;1; ; ;1;2;1;1;1;1;1; ; ;15;1;1;0,449392936
10278;1; ;1; ;2;1;1;1;2;1;1;3;6;15;1;1;0,449392936
37194;1;1;2; ;2;2;1;2;1;1; ;7;2;14;1;1;0,449392936
35364;1;1;1; ;1;1;2;2;2;1;1;4;7;15;5;5;0,462418633
22327;1;1;1; ;1;1;1;2;1;1;1;2;2;14;4;4;0,464241104
35397;1;1;1; ;1;1;1;1;1;1;1;6;6;14;4;4;0,464241104
22322;1;1;1; ;1;2;1;1;1;1;1;6;6;13; ; ;0,483284599
22328;1;1;1; ;1;2;1;2;1;1;1;7;6;16;3;1;0,483284599
22338;1;1;1; ;1;1;1;1;1;1;3;5;8;12;2;1;0,483284599
22346;1;1;1; ;1;2;1;1;1;1;1;6;6;13;5;2;0,483284599
22358;1;1;1; ;1;1;1;2;2;1;1;6;6;15;1;1;0,483284599
22363;1;1;1; ;1;1;1;1;1;1;1;7;3; ;1;1;0,483284599
35358;1;1;2; ;2;1;3;1;1;1;1;7;6; ;2;1;0,483284599
35362;1;1;1; ;1;2;2;1;1;1;1;6;6;16;2;2;0,483284599
35374;1;1;1; ;1;1;1;1;2;7;1;9;6;16; ;1;0,483284599
35384;1;1;1; ;1;1;1;1;1;1;4;2;4;13;5;5;0,483284599
35395;1; ;2; ;1;1;2;1;1;4;1;8;6;12;1;1;0,485383828
35399;1;1;1; ;2;1;1;1;1;1;1;2;5;10;4;3;0,485383828
21795;1;1;1; ;1;1;1;1;2;1;1;3;3;13;3;2;0,508596956
21740;1;1;1; ;1;1;1;1;2;1;1;6;6;16;2;1;0,510806134
25026;1;1;2; ;2;1;2;1;2;1;1;7;6;14; ; ;0,525970001
25058;1;1;1; ;1;1;1;1;1;1;1;6;4;12;2;1;0,525970001
25060;1;1;1; ;2;1;1;1;1;1;1;2;2;9;1;1;0,525970001
8840;2;1;1; ;1;1;1;1;1;1;3;6;8;17; ; ;0,529164373
8810;2;2; ; ;2;1;2;4;2; ; ; ; ;14; ; ;0,531462889
21534;1;1;1; ;1;1;1;1;1;1;1;2;2;16;2;1;0,531546652
21538;1;1;1; ;1;1;1;1;2;1;1;4;4;15;4;4;0,531546652
21548;1;1;1; ;1;1;1;1;1;1;1; ; ;16;2;2;0,531546652
21554;1;1;1; ;1;1;1;1;1;1;1;2;5;16;3;3;0,531546652
21744;1;1;1; ;1;1;1;1;4;7;1; ; ;12; ;3;0,531546652
21750;1;1;1; ;1;1;1;1;2;1;1;4;5;14;2;5;0,531546652
21764;1;1;1; ;2;1;1;1;2;1;1;6;4; ;4;3;0,531546652
21767;1;1;1; ;1;1;1;1;2;1;1;2;5;16;5;4;0,531546652
21768;1;1;1; ;2;1;1;1;2;4;1;6;6;11;4;1;0,531546652
25005;1;1;1; ;1;1;1;4;2;1;1;2;6;13;2;1;0,531546652
25018;1;1;1; ;1;1;2;1;1;1;1; ; ;13;3;3;0,531546652
25040;1;1;1; ;1;1;1;1;1;1;1;6;6;15;3;2;0,531546652
25045;1;1;1; ;1;1;1;1;1;1;1;2;6;15;4;4;0,531546652
25061;1;1;1; ;1;1;1;1;1;1;1;4;5;14;1;2;0,531546652
25072;1;1;1; ;1;1;1;1;1;1;3;3;8;14;1;1;0,531546652
21549;1; ; ;4;1;1;1;1;1;1;1; ; ;18;2;2;0,533855516
21550;1; ;1; ;1;2;3;1;1;1;1;7;6;17;3;3;0,533855516
25009;1;1;1; ;1;1;2;1;2;1;1;6;2;15;4;4;0,533855516
25050;1;1;2; ;2;1;1;5;2;1;1;4;6;14;3;3;0,533855516
25087;1;1;1; ;1;1;2;1;1;1;1;2;2;15;2;2;0,533855516
8847;2;1;1; ;1;1;1;2;2;7;1;9;6;15;5;3;0,544873225
8816;2; ;1; ;1;1;1;1;2;1;1;5;5;14;5;3;0,553042143
9499;2;1;1; ;1;1;1;2;2;1;1;7;6;13;1;1;0,553042143
9512;2;1;3; ;1;1;1;1;1;5;1; ;6;16;1;1;0,553042143
9521;2;1;2; ;2;1;2;1;1;1;1;6;6; ; ; ;0,553042143
9523;2;1;1; ;1;1;1;1;1;1;4; ; ;15;4;1;0,553042143
10271;2;1;1; ;1;1;1;1;2;1;1; ; ;15; ;3;0,553042143
10555;2;1;1; ;1;1;1;1;2;1;1;7;6;17;2;3;0,553042143
10559;2;1;1; ;1;1;1;1;2;1;2;2;8;16;1;1;0,553042143
10571;2;1;1; ;1;1;1;1;1;1;1;2;7;16;2;2;0,553042143
10581;2; ;2; ;1;1;1;1;1;1;1; ;4; ;2;1;0,553042143
10582;2;1;1; ;1;1;1;1;1;1;1; ; ;16;2;2;0,553042143
10588;2;1;1; ;1;1;1;1;1;1;1;2;6;16;2;2;0,553042143
37192;2;1;1; ;1;1;3;1;1;1;1; ;6;17;3;1;0,553042143
37196;2; ;1; ;1;1;1;1;2;1;1;6;4;15;1;1;0,553042143
37206;2;1;1; ;1;1;1;1;1;1;4;6; ; ; ; ;0,553042143
37221;2; ; ; ;1;1;2;1;2;1;1;2; ;14; ;2;0,553042143
37227;2;1;1; ;1;1;2;1;1;1;4;2;2; ;2;1;0,553042143
37231;2;1;1; ;2;1;2;1;2;1;1;2; ;16;1;1;0,553042143
8827;2;1;1; ;2;1;1;1;1;1;1;6;6;15;5;3;0,555444377
8830;2;1;1; ;2;1;1;1;4;1; ;5; ;15;1; ;0,555444377
8848;2;1;1; ;1;1;1;2;1;4;1;8;2;15;1;1;0,555444377
10263;2;1;1; ;2;1;1;1;1;1;1;7;6;16;2;2;0,555444377
10265;2;1;1; ;1;1;1;1;2;1;2;6;8;16;1;1;0,555444377
37191;2;1;1; ;1;1;1;1;1;1;1;6;5;14; ; ;0,555444377
43895;2;1;1; ;1;1;1;1;1;1;1;7;6;13;4;4;0,583951375
41970;2;1;1; ;1;1;1;1;1;1;1;4;5;14;5;5;0,592706165
42064;2;2; ;1;2;1;1;1;1;1;3;6;8;14;3;3;0,592706165
43894;2;1;1; ;2;1;1;1;1;1;1;6;6;16;2;2;0,592943792
4955;2;1;1; ;1;1;1;2;2;1;1;5;4;12;2;5;0,595966859
5020;2;1;1; ;1;1;2;1;2;7;1;9;6;14; ; ;0,595966859
41377;2;1;1; ;1;1;1;1;1;1;3;3;8;16;4;4;0,602527126
4980;2;1;1; ;1;2;1;2;2;1;1;7;2;15; ; ;0,604901789
41291;2;1;1; ;1;1;1;1;1;1;1;7;7;15;3;2;0,604901789
41453;2;1;1; ;1; ;2;1;1;1;3;4; ;13;5;1;0,604901789
41404;2;1;1; ;2;1;1;1;2;1;1;6;7;14;5;2;0,605144306
11920;2;1;1; ;2;1;1;1;1;1;2;2;8;16;3;3;0,606590631
13854;2;1;1; ;1;1;1;1;1;4;1;8;6;14;4;2;0,606590631
14712;2;1;1; ;1;1;1;1;2;1;1;2;6;10;5;3;0,606590631
37573;2; ;1; ;1;1;1;1;2;1;1;6;4;12;3;1;0,606590631
43925;2;1;1; ;2;2;2;1;1;1;2;3;8;16;3;3;0,607905468
854;2; ;1; ;1;1;1;1;2;1;1;7;7;14;5;4;0,615684837
12231;2;1;1; ;1;1;1;4;2;1;1;1;4;7;5;5;0,615684837
21432;2;1;1; ;2;1;1;1;1;1;1;6;5;14;2;1;0,615684837
24374;2;2; ;2;1;1;2;3;2;3;1;8;6;14;4;1;0,615684837
2279;2;1;1; ;1;1;1;1;1;1;1;4;5;16;2;2;0,617019386
2285;2; ; ;2;1;1;1;1;1;1;3; ;8; ;2;2;0,617019386
2290;2;1;1; ;1;1;1;1;1;1;1;7;5; ;4;4;0,617019386
2294;2;1;1; ;1;1;1;1;2;1;1;7;6;15;4;3;0,617019386
2299;2;2; ;1;2;1;1;4;2; ;2; ;8; ;4;4;0,617019386
2304;2;1;1; ;1;2;1;1;1;1;1;6;6;13;4;3;0,617019386
2317;2;1;1; ;1;1;1;1;1;1;1;4;6;14;5;2;0,617019386
2318;2; ;2; ;2;1;1;1;1;1;3;7;8;16;3;2;0,617019386
28037;2;1;2; ;2;2;2;1;2;6;1; ;7;15; ;4;0,617019386
28067;2;2; ;4;1;2;1;1;1;1;1;2;6;17;4;1;0,617019386
36088;2; ;1; ;1;1;1;1;2;1;1;4;4;16;4;1;0,617019386
36106;2;1;1; ;1;1;1;1;1;1;1;6;6;16;3;3;0,617019386
41866;2; ;1; ;1;1; ;1;1;1;1;7;6;16;1;1;0,617019386
41882;2;1;1; ;2;2;1;1;5; ;4; ;6;16;3;1;0,617019386
41888;2;1;1; ;1;1;1;1;1;1;1;1;5;15;3;3;0,617019386
41891;2;1;1; ;1;1;1;1;1;1;1;7;4;17;4;3;0,617019386
41899;2;1;1; ;1;1;1;1;1;1;1;5;6;18;1;1;0,617019386
41917;2;1;1; ;1;1;1;1;1;1;1;6;6;15;3;2;0,617019386
41921;2;1;1; ;1;1;1;1;1;1;1;4;4;15;4;4;0,617019386
41934;2; ;1; ;2;2;1;2;2;1;4;6;8;16;3;1;0,617019386
41937;2; ;1; ;1;1;1;1;1;2;1;7;4; ;1;1;0,617019386
41953;2;1;1; ;1;2;2;1;1;1;1;2;5;15;2;2;0,617019386
41976;2;1;1; ;1;1;1;1;1;1;1;4;6; ;1;1;0,617019386
41982;2;1;1; ;1;1;1;1;1;5;1;8;7;16;2;2;0,617019386
41985;2;1;1; ;2;2;1;1;1;1;1;7;6;15;4;4;0,617019386
41989;2;1;1; ;1;1;2;1;1;5;1; ;7;16; ; ;0,617019386
41998;2;1;1; ;2;2;2;1;1;1;1;7;6;15;4;4;0,617019386
42013;2;1;1; ;1;2;2;1;2;6;3;8;8;17;2;2;0,617019386
42019;2; ;1; ;1;1;1;1;2;4;7;7; ;13;2; ;0,617019386
42024;2;1;1; ;1;1;2;1;1;5;3;9;9;16;1;1;0,617019386
42028;2;1;1; ;2;2;3;1;2;1;2; ;9;15; ;1;0,617019386
42041;2;1;1; ;1;1;1;1;4;1;7;4;9;14;3; ;0,617019386
42052;2;1;2; ;2;1;1;1; ;1;7;7;9;16;3; ;0,617019386
42062;2;1;1; ;1;1;1;1;2;1;1;4;6;15;3;3;0,617019386
42087;2;2; ;2;2;2;2;1;1; ; ;8;8;15;5;5;0,617019386
42093;2;1;1; ;1;1;1;1;1;1;4;4; ;16;2;1;0,617019386
42098;2;1;1; ;1;1;1;1;2;7;1;9;5; ; ;1;0,617019386
42101;2;1;1; ;1;2;2;1;2;1;3;7;8;15;1;3;0,617019386
42105;2;1;1; ;1;1;2;1;1;1;1; ; ; ;3;3;0,617019386
42118;2;1;1; ;2;1;2;1;2;1;3;5;7;15;1;4;0,617019386
42121;2;1;1; ;1;1;1;1;1;1;1;6;6; ;1;1;0,617019386
42123;2;1;1; ;1;1;1;1;2;1;1;2;4;13;4;4;0,617019386
42130;2;1;1; ;1;1;2;1;1;1;1;7;7;16;3;3;0,617019386
42138;2;1;1; ;1;2;3;1;1;1;4;7;8;15;2;1;0,617019386
42140;2;1;1; ;1;1;1;1;1;1;3;1;8;16;5;3;0,617019386
42150;2;1;1; ;1;1;1;1;1;1;1;4;4;15;2;3;0,617019386
42159;2;1;1; ;1;1;1;1;1;1;3;7;8; ;1;1;0,617019386
42162;2;1;1; ;1;2;2;1;1;1;1;7;5; ;5;1;0,617019386
42165;2;1;1; ;1;1;2;1;1;1;1;6;6;15;4;4;0,617019386
42174;2;1;1; ;1;1;1;1;1;1;1;4;4;15;2;2;0,617019386
43884;2;1;1; ;2;1;1;1;2;2;1;8;4;16; ;2;0,617019386
43898;2;1;2; ;1;1;1;1;2;1;1;7;7;14;4;4;0,617019386
43903;2;1;1; ;1;1;2;1;2;1;1;4;4;16;4;4;0,617019386
43913;2; ;1; ;2;2;2;2;1;1;3;3;8;17;2;2;0,617019386
43917;2;1;1; ;1;1;1;1;4;1;7;4;9;16;4; ;0,617019386
43935;2;1;1; ;1;1;1;1;1;1;1;4;5;15;4;4;0,617019386
43940;2;1;1; ;1;1;1;1;1;1;1;4;6;16;3;3;0,617019386
43944;2;1;1; ;1;1;2;1;2;1;1;4;4;16;5;5;0,617019386
43948;2;1;1; ;1;1;1;1;1;1;2;7;8;16;4;5;0,617019386
43959;2;1;2; ;2;2;1;1;2;1;1; ; ;16;2;2;0,617019386
43970;2;1;2; ;2;1;2;1;1;5;3; ; ;16;2;1;0,617019386
43974;2;1;1; ;1;1;1;1;1;1;1;4;5;16;2;2;0,617019386
43983;2;1;1; ;1;1;1;1;2;1;1;3;4;15;3;2;0,617019386
43987;2;1;1; ;1;1;1;2;1;1;1;7;7; ;2;2;0,617019386
43988;2;2; ;1;1;2;2;4;2;7;4;9;8; ;5;2;0,617019386
43992;2;1;1; ;1;1;1;1;1;1;1;1;4;14;4;1;0,617019386
43995;2;1;1; ;2;1;1;1;2;1;1;7; ;16;3;3;0,617019386
44004;2;1;1; ;1;1;2;1;1;1;3;2;8; ;1;1;0,617019386
44010;2;1;2; ;1;1;2;1;2;1;1;7;6;16;3;3;0,617019386
44024;2;1;1; ;1;1;3;2;2;1;3;6;5;17;4;5;0,617019386
44026;2;1;1; ;1;1;1;1;1;1;1;7;6;16;3;2;0,617019386
44029;2;1;1; ;1;2;2;1;4; ;1; ;6;16; ;1;0,617019386
44034;2; ;1; ;1;1;1;1;1;1;1;6;6;15;3;3;0,617019386
44045;2;1;1; ;2;1;2;1;1;1;3;6;8; ;1;1;0,617019386
44056;2;1;1; ; ;1;1;1;1;1;1;2;6;18;2;2;0,617019386
44059;2;1;1; ;1;1;1;1;1;1;1;7;5;16;5;1;0,617019386
44070;2;1;1; ;1;1;1;1;2;1;1;4;6;14;5;3;0,617019386
44071;2;1;1; ;2;1;2;1;1;2;3; ; ;16;2;1;0,617019386
44076;2;1;1; ;1;1;1;1;1;2;5;8;6;15;2;2;0,617019386
44082;2;1;1; ;1;1;1;1;2;5;1;8;2;16;5;2;0,617019386
2309;2;1;1; ;1;1;1;1;1;1;1;6;5;15;4;1;0,619699515
36085;2;1;1; ;2;2;1;2;1;1;1;3;4;15;5;1;0,619699515
41863;2;1;1; ;1;1;1;2;2;1;2;7;8;16;2;2;0,619699515
41885;2; ;1; ;2;1;1;2;1;1;2;4;8;15;2;5;0,619699515
41894;2;1;1; ;1;1;1;1;1;1;1;2;6;10;5;5;0,619699515
41961;2;1;1; ;1;1;1;1;1;1;1;7;6;13;4;4;0,619699515
42010;2; ;1; ;1;1;2;1;1;1;1;7; ;15;3;3;0,619699515
42030;2; ; ; ;2;1;2;5;2;1;1;7;6;16;1;1;0,619699515
42084;2;1;1; ;1;1;1;1;1;1;1;4;6;16;4;4;0,619699515
42132;2;1;1; ;2;1;1;2;2;1;2;7;8; ;3;3;0,619699515
42157;2;1;1; ;2;1;3;1;2;7;2;9;8;15;2;2;0,619699515
42164;2;1;1; ;1;2;2;1;2;1;1;4;6;15;3;3;0,619699515
42166;2;1;1; ;1;1;1;1;2;1;1;2;6;15;3;3;0,619699515
43904;2;1;1; ;2;2;1;1;1;1;3;6;8;17;2;1;0,619699515
43981;2;1;1; ;2;2;2;1;1;1;1;2;4;16;2;2;0,619699515
44003;2;1;2; ;2;1;1;1;2; ;1; ; ; ; ;3;0,619699515
44012;2;1;1; ;1;2;2;1;2;5;1;8;6;15;5;4;0,619699515
44038;2;1;1; ;1;1;1;1;4;7;1;9;4;15;1;2;0,619699515
44051;2; ; ;4;1;2;2;5;1;7;7;2;2;16;1;1;0,619699515
44064;2;1;1; ;1;1;1;3;4;6;7; ; ;13;5; ;0,619699515
5011;2;1;1; ;1;1;1;1;1;1;1; ; ;16;1;1;0,623108709
22834;2;1;1; ;1;1;2;1;2;1;1;4;4;15;2;2;0,623108709
41292;2;1;1; ;2;2;2;1;2;4;1; ; ;12; ;3;0,623108709
41364;2;1;1; ;1;1;1;1;1;1;1;7;7;15;4;4;0,623108709
35684;2; ;1; ;1;1;1;1;1;1;1;5;5; ;4;4;0,62720253
24381;1;2; ;2;2;3;3;1;1;6;6; ; ; ;1;1;0,629290934
825;1;1;1; ;2;1;1;1;1;5;6;7; ; ; ; ;0,629543228
28921;2;1;1; ;1;1;1;1;1;2;1;8;5;15;2;1;0,629674444
4950;2;1;1; ;1;1;1;1;1;1;1;6;6; ;1;1;0,629715283
4963;2;1;1; ;2;1;1;1;1;1;1;6;6;16;2;2;0,629715283
4971;2;1;1; ;1;1;1;1;2;7;4;9;6;15; ;1;0,629715283
4984;2;1;1; ;2;1;1;1;2;1;1; ;6;17;1;2;0,629715283
4988;2;1;1; ;2;2;1;1;1;1;1;7;6;17;1;2;0,629715283
4990;2;1;1; ;1;1;2;1;1;1;1;7;3;15;1;1;0,629715283
5000;2;1;1; ;1;1;1;1;2;7;1;9;6; ;5;1;0,629715283
5024;2;1;1; ;1;1;1;1;2;1;3;4;8; ;3;3;0,629715283
5028;2;1;1; ;2;1;1;1;4; ;3;9;8; ;1;1;0,629715283
5037;2;1;1; ;1;1;1;1;2;1;1;4;4;15;5;1;0,629715283
21605;2;1;1; ;2;1;1;1;1;1;1;6;6;14;4;1;0,629715283
21623;2; ;1; ;2;1;1;1;1;1;1;7;5;16;1;1;0,629715283
21650;2; ;1; ;1;1;1;1;1;6;1;8;6; ;1;1;0,629715283
22824;2; ;1; ;2;1;2;1;1;1;1;7;3;16;2;1;0,629715283
22832;2;1;1; ;1;1;1;1;1;1;1;6;6;17;2;2;0,629715283
22842;2;1;1; ;1;1;1;1;1;1;1;4;4; ;5;5;0,629715283
22844;2;1;1; ;1;1;1;2;1;1;1;4;6;12;5;4;0,629715283
22862;2;1;1; ;1;1;1;1;2;7;1;9;4;16; ;1;0,629715283
22869;2;1;1; ;1;1;1; ;2;1;1;7;7;14;2;4;0,629715283
22871;2;2; ;1;2;1;2;1;1;1;1;7; ;16;2;2;0,629715283
22881;2;1;2; ;2;2;1;1;1;1;1;7; ;13;2;1;0,629715283
22883;2;1;1; ;1;1;1;1;1;1;1; ;6; ;4;4;0,629715283
22889;2;1;1; ;1;1;1;1;1;1;1;5;5;14;4;1;0,629715283
39056;2; ;1; ;2;1;1;1;1;1;3;3;8;15;5;4;0,629715283
39075;2;1;1; ;1;1;1;2;1;1;1;2;2;12;2;2;0,629715283
39971;2;1;1; ;1;1;1;1;1;1;4;4;8;16;2;2;0,629715283
39975;2;1;1; ;1;2;3;1;1;1;1;5;6;15;1;2;0,629715283
39978;2;1;1; ;1;1;1;1;2;1;1;7;6;13;4;3;0,629715283
39981;2;1;1; ;1;1;1;1;1;1;1;7;4;18;2;2;0,629715283
39997;2; ;1; ;2;1;1;1;1;1;1;7;6;16;2;2;0,629715283
40004;2;1;1; ;1;1;1;1;2;1;1;4;5;14;3;3;0,629715283
40006;2;1;1; ;1;1;1;1;1;1;2; ;8;15;5;3;0,629715283
41300;2;1;1; ;1;2;1;1;1;1;1;4;5;7;5;5;0,629715283
41306;2;1;1; ;1;1;1;1;2;1;1;7;5;12;5;5;0,629715283
41326;2;1;1; ;1;1;1;1;1;1;1;4;5;14;1;2;0,629715283
